Date,Ten_Year_Treasury
1947-05-01,0.0231
1947-04-01,0.023
1947-03-01,0.022799999999999997
1947-02-01,0.0227
1947-01-01,0.0225
1946-12-01,0.022400000000000003
1946-11-01,0.022400000000000003
1946-10-01,0.0223
1946-09-01,0.0223
1946-08-01,0.0222
1946-07-01,0.0222
1946-06-01,0.022099999999999998
1946-05-01,0.022099999999999998
1946-04-01,0.022000000000000002
1946-03-01,0.022000000000000002
1946-02-01,0.0219
1946-01-01,0.0219
1945-12-01,0.022000000000000002
1945-11-01,0.0222
1945-10-01,0.0223
1945-09-01,0.0225
1945-08-01,0.0227
1945-07-01,0.022799999999999997
1945-06-01,0.023
1945-05-01,0.0231
1945-04-01,0.0233
1945-03-01,0.023399999999999997
1945-02-01,0.0236
1945-01-01,0.023700000000000002
1944-12-01,0.023799999999999998
1944-11-01,0.0239
1944-10-01,0.024
1944-09-01,0.0241
1944-08-01,0.0242
1944-07-01,0.0242
1944-06-01,0.024300000000000002
1944-05-01,0.024399999999999998
1944-04-01,0.0245
1944-03-01,0.0246
1944-02-01,0.024700000000000003
1944-01-01,0.0248
1943-12-01,0.0248
1943-11-01,0.0248
1943-10-01,0.0248
1943-09-01,0.0248
1943-08-01,0.0248
1943-07-01,0.024700000000000003
1943-06-01,0.024700000000000003
1943-05-01,0.024700000000000003
1943-04-01,0.024700000000000003
1943-03-01,0.024700000000000003
1943-02-01,0.024700000000000003
1943-01-01,0.024700000000000003
1942-12-01,0.024700000000000003
1942-11-01,0.024700000000000003
1942-10-01,0.024700000000000003
1942-09-01,0.024700000000000003
1942-08-01,0.024700000000000003
1942-07-01,0.0246
1942-06-01,0.0246
1942-05-01,0.0246
1942-04-01,0.0246
1942-03-01,0.0246
1942-02-01,0.0246
1942-01-01,0.0246
1941-12-01,0.0242
1941-11-01,0.023799999999999998
1941-10-01,0.0233
1941-09-01,0.0229
1941-08-01,0.0225
1941-07-01,0.022000000000000002
1941-06-01,0.0216
1941-05-01,0.0212
1941-04-01,0.0208
1941-03-01,0.0204
