Date,Nominal_US_GDP_Quarterly
2009-03-01,14387.859755431016
2009-04-01,14381.236
2009-05-01,14386.059793484043
2009-06-01,14407.27698030897
2009-07-01,14448.882
2009-08-01,14515.051814061459
2009-09-01,14589.544847915377
2009-10-01,14651.248
2009-11-01,14692.033541079152
2009-12-01,14722.447936574461
2010-01-01,14764.611
2010-02-01,14831.626841742338
2010-03-01,14903.921027747765
2010-04-01,14980.193
2010-05-01,15038.287298179472
2010-06-01,15089.254082610014
2010-07-01,15141.605
2010-08-01,15206.071598868206
2010-09-01,15268.263173485742
2010-10-01,15309.471
2010-11-01,15322.85497005823
2010-12-01,15327.382730245157
2011-01-01,15351.444
2011-02-01,15413.910496038798
2011-03-01,15486.680769927321
2011-04-01,15557.535
2011-05-01,15596.83767692022
2011-06-01,15620.382778696316
2011-07-01,15647.681
2011-08-01,15697.40793994314
2011-09-01,15765.850907003045
2011-10-01,15842.267
2011-11-01,15924.151031869362
2011-12-01,16000.042089599961
2012-01-01,16068.824
2012-02-01,16123.623113931983
2012-03-01,16165.827607991598
2012-04-01,16207.13
2012-05-01,16247.477271312575
2012-06-01,16287.132297600863
2012-07-01,16319.54
2012-08-01,16345.718727963591
2012-09-01,16375.340597048946
2012-10-01,16420.386
2012-11-01,16491.13788873505
2012-12-01,16566.682091332033
2013-01-01,16629.05
2013-02-01,16660.145230899863
2013-03-01,16674.993501116165
2013-04-01,16699.551
2013-05-01,16748.947713508194
2013-06-01,16823.71237695142
2013-07-01,16911.068
2013-08-01,17006.392903539996
2013-09-01,17087.765591313222
2013-10-01,17133.114
2013-11-01,17135.46923142494
2013-12-01,17125.33508745322
2014-01-01,17144.281
2014-02-01,17223.588469533486
2014-03-01,17331.664482192977
2014-04-01,17462.703
2014-05-01,17576.536930102026
2014-06-01,17673.063773425547
2014-07-01,17743.227
2014-08-01,17791.27061630049
2014-09-01,17824.019051530293
2014-10-01,17852.54
2014-11-01,17888.76945449275
2014-12-01,17933.50223715624
2015-01-01,17991.348
2015-02-01,18060.70318612016
2015-03-01,18126.54463884673
2015-04-01,18193.707
2015-05-01,18245.39244818542
2015-06-01,18283.80233690893
2015-07-01,18306.96
2015-08-01,18318.26749278749
2015-09-01,18323.92854981841
2015-10-01,18332.079
2015-11-01,18350.421445113614
2015-12-01,18380.313289722402
2016-01-01,18425.306
2016-02-01,18484.49142089544
2016-03-01,18546.50929848318
2016-04-01,18611.617
2016-05-01,18667.603746427056
2016-06-01,18721.532889210062
2016-07-01,18775.459
2016-08-01,18837.208556156802
2016-09-01,18903.235312387435
2016-10-01,18968.041
2016-11-01,19032.98719805266
2016-12-01,19092.20787137549
2017-01-01,19148.194
2017-02-01,19198.939287060133
2017-03-01,19245.361482187647
2017-04-01,19304.506
2017-05-01,19375.261726025023
2017-06-01,19463.137800239158
2017-07-01,19561.896
2017-08-01,19675.679318570215
2017-09-01,19791.581130879917
2017-10-01,19894.75
2017-11-01,19984.963954758157
2017-12-01,20065.54964883951
2018-01-01,20155.486
2018-02-01,20261.39217568893
2018-03-01,20363.262089933876
2018-04-01,20470.197
2018-05-01,20557.65268391609
2018-06-01,20630.91231400254
2018-07-01,20687.278
2018-08-01,20733.672600620688
2018-09-01,20775.38956357003
2018-10-01,20819.269
2018-11-01,20874.800216735985
2018-12-01,20938.48563723443
2019-01-01,21013.085
2019-02-01,21095.36274104486
2019-03-01,21176.055123496186
2019-04-01,21272.448
2019-05-01,21370.40802278751
2019-06-01,21463.76782430458
2019-07-01,21531.839
2019-08-01,21573.549031308918
2019-09-01,21618.97844697192
2019-10-01,21706.532
2019-11-01,21840.85484766443
2019-12-01,21853.488704813357
2020-01-01,21538.032
2020-02-01,20795.19857382631
2020-03-01,20041.410828169646
2020-04-01,19636.731
2020-05-01,19945.207866537134
2020-06-01,20684.428859723026
2020-07-01,21362.428
2020-08-01,21677.870952656518
2020-09-01,21716.149167952488
2020-10-01,21704.706
2020-11-01,21817.334456266235
2020-12-01,22034.856816577118
2021-01-01,22313.85
2021-02-01,22595.549568296454
2021-03-01,22829.546385910235
2021-04-01,23046.934
2021-05-01,23207.903668523915
2021-06-01,23362.56895717072
2021-07-01,23550.42
2021-08-01,23815.70257965274
2021-09-01,24106.391086839238
2021-10-01,24349.121
2021-11-01,24515.253466823364
2021-12-01,24625.854725177018
2022-01-01,24740.48
2022-02-01,24895.410256872292
2022-03-01,25060.569398677522
2022-04-01,25248.476
2022-05-01,25417.209080223063
2022-06-01,25577.683399386475
2022-07-01,25723.941
2022-08-01,25869.392443823534
2022-09-01,26009.093595548617
2022-10-01,26137.992
2022-11-01,26263.832295800854
2022-12-01,26377.683465911814
2023-01-01,26486.287
