Date,SP500_Growth_Based_On_Earnings
1961-03-01,6026.632661519582
1961-04-01,6050.057073294767
1961-05-01,6073.184202779839
1961-06-01,6096.549792972129
1961-07-01,6120.125004855238
1961-08-01,6143.026235976534
1961-09-01,6166.242510488917
1961-10-01,6189.642034284033
1961-11-01,6212.455103848694
1961-12-01,6235.474427636484
1962-01-01,6259.927268529175
1962-02-01,6284.522299444347
1962-03-01,6309.628253021546
1962-04-01,6335.918370742469
1962-05-01,6364.72323694879
1962-06-01,6397.810797964327
1962-07-01,6430.479358002953
1962-08-01,6462.625325599448
1962-09-01,6495.403908098938
1962-10-01,6529.880574277808
1962-11-01,6562.720448419216
1962-12-01,6594.758724382989
1963-01-01,6625.87781991141
1963-02-01,6656.845654179084
1963-03-01,6688.186735413448
1963-04-01,6718.60971001049
1963-05-01,6748.922874195702
1963-06-01,6779.722996841721
1963-07-01,6811.4632730441635
1963-08-01,6842.80628460796
1963-09-01,6873.797255099844
1963-10-01,6905.013409755156
1963-11-01,6936.699411084796
1963-12-01,6968.030483402253
1964-01-01,6998.966509345256
1964-02-01,7030.073027164568
1964-03-01,7061.152041431432
1964-04-01,7092.285868774605
1964-05-01,7123.623293079901
1964-06-01,7155.65973530458
1964-07-01,7187.0276983735985
1964-08-01,7219.331850200161
1964-09-01,7251.57252477233
1964-10-01,7283.59678075525
1964-11-01,7315.728405868869
1964-12-01,7348.771442932414
1965-01-01,7381.432649345447
1965-02-01,7414.309153217466
1965-03-01,7447.616921201372
1965-04-01,7481.002329670088
1965-05-01,7514.42950719319
1965-06-01,7550.069943102852
1965-07-01,7586.270892197132
1965-08-01,7622.334168923683
1965-09-01,7657.721049930757
1965-10-01,7692.977592517916
1965-11-01,7728.593229520313
1965-12-01,7765.041980838556
1966-01-01,7801.374761957958
1966-02-01,7838.48175759132
1966-03-01,7877.736974726693
1966-04-01,7916.285305979025
1966-05-01,7957.490205552099
1966-06-01,7999.566613153368
1966-07-01,8042.108447939335
1966-08-01,8087.760743851797
1966-09-01,8135.493042859422
1966-10-01,8184.057351854524
1966-11-01,8230.674219887416
1966-12-01,8277.492617042633
1967-01-01,8322.54755181861
1967-02-01,8366.08462836087
1967-03-01,8408.569315687504
1967-04-01,8450.253676760713
1967-05-01,8491.09983722456
1967-06-01,8532.35882574363
1967-07-01,8573.035593600913
1967-08-01,8613.194088980343
1967-09-01,8652.893545511412
1967-10-01,8692.908776483995
1967-11-01,8734.49368260954
1967-12-01,8775.20254578352
1968-01-01,8816.493730358072
1968-02-01,8860.226338147546
1968-03-01,8905.302784719317
1968-04-01,8947.830496203173
1968-05-01,8989.933971152368
1968-06-01,9031.461751876464
1968-07-01,9073.484186977323
1968-08-01,9116.864776894025
1968-09-01,9159.308281441949
1968-10-01,9201.177490993246
1968-11-01,9242.826854975652
1968-12-01,9284.483727406587
1969-01-01,9328.319816771113
1969-02-01,9372.740387327165
1969-03-01,9418.523605319187
1969-04-01,9463.657415963808
1969-05-01,9507.641694714335
1969-06-01,9554.302676726087
1969-07-01,9603.541507259617
1969-08-01,9653.435218332246
1969-09-01,9703.556896516733
1969-10-01,9753.105287532444
1969-11-01,9802.244270238674
1969-12-01,9854.07508808046
1970-01-01,9906.179969045354
1970-02-01,9959.959447704667
1970-03-01,10012.65764584067
1970-04-01,10066.944447216947
1970-05-01,10128.22363182382
1970-06-01,10189.875833137576
1970-07-01,10251.186758728054
1970-08-01,10310.551982023906
1970-09-01,10366.308806499484
1970-10-01,10420.401421853792
1970-11-01,10474.037418466176
1970-12-01,10523.771689209132
1971-01-01,10572.170197713587
1971-02-01,10619.258074952648
1971-03-01,10665.63848233801
1971-04-01,10710.962460250377
1971-05-01,10757.402637410672
1971-06-01,10805.238828434376
1971-07-01,10853.96375100127
1971-08-01,10904.129972812147
1971-09-01,10953.757362093105
1971-10-01,11005.56287364292
1971-11-01,11061.012102147772
1971-12-01,11113.986298039283
1972-01-01,11165.411368824214
1972-02-01,11216.47892905484
1972-03-01,11266.894602054906
1972-04-01,11317.482311295455
1972-05-01,11369.302285248272
1972-06-01,11421.676075027379
1972-07-01,11475.178398781487
1972-08-01,11527.576473661768
1972-09-01,11581.4839581065
1972-10-01,11636.38291505619
1972-11-01,11689.692347505597
1972-12-01,11742.924097721925
1973-01-01,11797.019012489394
1973-02-01,11854.475758118117
1973-03-01,11914.23818884063
1973-04-01,11976.721082635682
1973-05-01,12042.686719794945
1973-06-01,12111.897563012159
1973-07-01,12182.331952189945
1973-08-01,12256.057030574053
1973-09-01,12330.444363850178
1973-10-01,12403.892328848093
1973-11-01,12485.027155698222
1973-12-01,12574.564068748268
1974-01-01,12664.279851202238
1974-02-01,12757.922855130086
1974-03-01,12849.102978451485
1974-04-01,12947.427917068348
1974-05-01,13051.07367368913
1974-06-01,13156.97333024292
1974-07-01,13279.47773741464
1974-08-01,13410.284255710685
1974-09-01,13559.685818274307
1974-10-01,13706.817825851069
1974-11-01,13849.597178203685
1974-12-01,14002.665228360665
1975-01-01,14143.254236677538
1975-02-01,14269.713949094183
1975-03-01,14389.708180082194
1975-04-01,14507.041090878689
1975-05-01,14616.05101792166
1975-06-01,14720.960944837547
1975-07-01,14825.632168848053
1975-08-01,14938.46041975253
1975-09-01,15052.56415042586
1975-10-01,15163.375135043249
1975-11-01,15274.121374709064
1975-12-01,15388.380212042315
